"Laps","Time","Cumulative Time","Distance","Avg Pace","Avg GAP","Avg HR","Max HR","Total Ascent","Total Descent","Avg Power","Avg W/kg","Max Power","Max W/kg","Avg Run Cadence","Avg Ground Contact Time","Avg GCT Balance","Avg Stride Length","Avg Vertical Oscillation","Avg Vertical Ratio","Calories","Avg Temperature","Best Pace","Max Run Cadence","Moving Time","Avg Moving Pace"
"1","3:47.7","3:47.7","0.13","28:41","--","121","144","0","0","--","--","--","--","28","--","--","1.25","--","--","22","--","6:20","172","1:24","10:35"
"2","2:15.0","6:02.7","0.41","5:30","--","153","172","0","2","--","--","--","--","165","--","--","1.11","--","--","19","--","5:17","178","2:11","5:20"
"3","3:20.2","9:22.9","0.19","17:21","--","145","174","0","0","--","--","--","--","76","--","--","0.76","--","--","26","--","5:55","169","2:39","13:46"
"4","2:29.1","11:52","0.40","6:13","--","150","167","0","0","--","--","--","--","168","--","--","0.96","--","--","21","--","5:36","174","2:26","6:05"
"5","3:14.3","15:06","0.21","15:29","--","141","169","0","0","--","--","--","--","97","--","--","0.67","--","--","20","--","6:11","171","3:14","15:28"
"6","2:04.1","17:10","0.34","6:01","--","147","167","0","0","--","--","--","--","165","--","--","1.01","--","--","16","--","5:37","172","2:04.1","6:01"
"7","3:04.4","20:15","0.18","17:06","--","143","169","2","0","--","--","--","--","84","--","--","0.70","--","--","19","--","6:11","172","2:52","15:57"
"8","2:02.7","22:17","0.34","5:56","--","146","166","0","0","--","--","--","--","171","--","--","0.99","--","--","15","--","5:38","178","2:00","5:48"
"9","2:09.2","24:27","0.16","13:06","--","151","172","0","0","--","--","--","--","105","--","--","0.73","--","--","16","--","5:58","177","2:09","13:05"
"10","0:17.1","24:44","0.01","21:03","--","129","130","0","0","--","--","--","--","0","--","--","--","--","--","1","--","15:57","0","0:05","6:09"
"Summary","24:44","24:44","2.39","10:21","","142","174","2","2","","","","","108","","","0.90","","","175","","5:17","178","21:04","8:49"